timestamp, t_err_s
1, 0.018736083
2, 0.019285025
3, 0.024429945
4, 0.02497291
5, 0.024574451
6, 0.028972907
7, 0.032769214
8, 0.03898343
9, 0.04677621
10, 0.051183887
11, 0.050350364
12, 0.05202773
13, 0.051297165
14, 0.05415761
15, 0.05480846
16, 0.054324105
17, 0.055727974
18, 0.055187367
19, 0.05702734
20, 0.05821516
21, 0.060481645
22, 0.06277195
23, 0.06348122
24, 0.05974574
25, 0.059064295
26, 0.056726158
27, 0.05692651
28, 0.055764798
29, 0.055785555
30, 0.05216737
31, 0.05397398
32, 0.052556865
33, 0.05093834
34, 0.047647923
35, 0.043799926
36, 0.046260983
37, 0.04439429
38, 0.042166647
39, 0.040091008
40, 0.040610045
41, 0.040287513
42, 0.04182118
43, 0.047787137
44, 0.045037508
45, 0.046594787
46, 0.050991643
47, 0.046424933
48, 0.049748987
49, 0.055617522
50, 0.05795386
51, 0.060706876
52, 0.058816794
53, 0.060069863
54, 0.057941344
55, 0.060090587
56, 0.060473543
57, 0.06130496
58, 0.062268935
59, 0.06257765
60, 0.058046494
61, 0.050069466
62, 0.044375204
63, 0.036190562
64, 0.034032322
65, 0.03597523
66, 0.03567635
67, 0.03365763
68, 0.027806567
69, 0.03377528
70, 0.039739285
71, 0.042453468
72, 0.049019646
73, 0.05432315
74, 0.062704355
75, 0.06875362
76, 0.07297801
77, 0.07643559
78, 0.07872765
79, 0.08182869
80, 0.08509331
81, 0.09094867
82, 0.09805249
83, 0.10405457
84, 0.11090518
85, 0.11406664
86, 0.11811954
87, 0.12289208
88, 0.1252561
89, 0.13010237
90, 0.12936892
91, 0.13194928
92, 0.1318402
93, 0.13297291
94, 0.13630383
95, 0.13816088
96, 0.14126405
97, 0.13911194
98, 0.13939486
99, 0.13294856
100, 0.13149415
101, 0.1338958
102, 0.1345075
103, 0.13782036
104, 0.14177094
105, 0.14637136
106, 0.15111457
107, 0.15299672
108, 0.15440045
109, 0.15130085
110, 0.15586743
111, 0.15108347
112, 0.14583722
113, 0.1453259
114, 0.14067686
115, 0.13698041
116, 0.13324562
117, 0.13454835
118, 0.13400091
119, 0.12805757
120, 0.12756999
121, 0.12147719
122, 0.11628518
123, 0.11277068
124, 0.11326967
125, 0.11211693
126, 0.110772796
127, 0.10612137
128, 0.104054116
129, 0.09846767
130, 0.09360332
131, 0.087053984
132, 0.08216352
133, 0.07845443
134, 0.075008765
135, 0.06945424
136, 0.06575617
137, 0.064871565
138, 0.06367713
139, 0.06395671
140, 0.0641105
141, 0.0638175
142, 0.06648792
143, 0.068510816
144, 0.07196212
145, 0.0748989
146, 0.07829508
147, 0.08071524
148, 0.08663977
149, 0.09226161
150, 0.095543146
151, 0.096142605
152, 0.09705665
153, 0.10058428
154, 0.10041713
155, 0.10175124
156, 0.10340034
157, 0.10048103
158, 0.1044976
159, 0.10135989
160, 0.10239303
161, 0.1045054
162, 0.10261341
163, 0.10833506
164, 0.11244046
165, 0.113244615
166, 0.11356817
167, 0.11369654
168, 0.11363191
169, 0.114260726
170, 0.11391557
171, 0.11069411
172, 0.110205814
173, 0.10712495
174, 0.104640454
175, 0.1031714
176, 0.100994095
177, 0.09938367
178, 0.09471964
179, 0.09492201
180, 0.095489204
181, 0.09417106
182, 0.095620506
183, 0.09182221
184, 0.09625313
185, 0.093154795
186, 0.08893321
187, 0.087142855
188, 0.08237272
189, 0.07989691
190, 0.07783026
191, 0.075805016
192, 0.069883905
193, 0.066350706
194, 0.06358944
195, 0.06472884
196, 0.06517578
197, 0.06257784
198, 0.06382397
199, 0.06428899
200, 0.06409334
201, 0.06482895
202, 0.06615945
203, 0.06823909
204, 0.06765116
205, 0.070067815
206, 0.06915412
207, 0.06918212
208, 0.072087444
209, 0.06762653
210, 0.06672451
211, 0.06881939
212, 0.069245525
213, 0.07037606
214, 0.06893827
215, 0.06886052
216, 0.06642903
217, 0.06782895
218, 0.06957369
219, 0.06870288
220, 0.06697764
221, 0.06516274
222, 0.065140784
223, 0.06346585
224, 0.060350083
225, 0.05802925
226, 0.05744833
227, 0.0567203
228, 0.054899674
229, 0.053834047
230, 0.04999861
231, 0.049212594
232, 0.04896193
233, 0.045614958
234, 0.045349564
235, 0.04461225
236, 0.04281225
237, 0.04202713
238, 0.04033209
239, 0.039008252
240, 0.03763793
241, 0.037039973
242, 0.03522015
243, 0.032559194
244, 0.031436443
245, 0.02994887
246, 0.028781662
247, 0.028291408
248, 0.027030926
249, 0.026475983
250, 0.025517032
251, 0.025476648
252, 0.02462818
253, 0.02368215
254, 0.02310333
255, 0.022986619
256, 0.022239616
257, 0.021822626
258, 0.022013519
259, 0.022143237
260, 0.022631519
261, 0.022376193
262, 0.022362234
263, 0.022025982
264, 0.022269404
265, 0.023701133
266, 0.023130735
267, 0.023092628
268, 0.022210963
269, 0.020662617
270, 0.01976493
271, 0.019456144
272, 0.018612478
273, 0.018061483
274, 0.018892
275, 0.019698253
276, 0.019912409
277, 0.019577252
278, 0.01963011
279, 0.020063294
280, 0.019817708
281, 0.020317754
282, 0.020476209
283, 0.019875206
284, 0.021860365
285, 0.02234509
286, 0.022847343
287, 0.023382232
288, 0.024635667
289, 0.024474954
290, 0.023315236
291, 0.024189984
292, 0.023657704
293, 0.024239788
294, 0.026799196
295, 0.028402362
296, 0.029365534
297, 0.03086197
298, 0.030945351
299, 0.030791031
300, 0.030489419
301, 0.030361122
302, 0.031164732
303, 0.031091772
304, 0.030626774
305, 0.03035854
306, 0.029599078
307, 0.028592294
308, 0.028488137
309, 0.026378082
310, 0.025243538
311, 0.024490377
312, 0.024056498
313, 0.023072522
314, 0.023171712
315, 0.022981115
316, 0.023076417
317, 0.023465907
318, 0.02361203
319, 0.02212106
320, 0.021318931
321, 0.02136644
322, 0.020818455
323, 0.02074975
324, 0.020369906
325, 0.020097759
326, 0.01978396
327, 0.019394876
328, 0.019269295
329, 0.019206377
330, 0.019049782
331, 0.019287039
332, 0.019363428
333, 0.019007297
334, 0.019259527
335, 0.019376254
336, 0.019387951
337, 0.019485367
338, 0.019249158
339, 0.019072749
340, 0.018749997
341, 0.018441005
342, 0.018227408
343, 0.0178913
344, 0.017631987
345, 0.017366229
346, 0.017043874
347, 0.01672643
348, 0.016144894
349, 0.015740922
350, 0.015245767
351, 0.014536054
352, 0.014364485
353, 0.013875755
354, 0.013381158
355, 0.013161431
356, 0.012727859
357, 0.012539949
358, 0.012562819
359, 0.012213791
360, 0.01216379
361, 0.011906686
362, 0.011760838
363, 0.011825356
364, 0.011839058
365, 0.011688064
366, 0.011662213
367, 0.011582936
368, 0.011589963
369, 0.01150815
370, 0.011322497
371, 0.011085647
372, 0.011034667
373, 0.010966064
374, 0.010864285
375, 0.010516851
376, 0.010455878
377, 0.010338042
378, 0.010127494
379, 0.010054743
380, 0.009977462
381, 0.00966553
382, 0.009296923
383, 0.009040403
384, 0.008677133
385, 0.008138651
386, 0.007944694
387, 0.0075555337
388, 0.0071586445
389, 0.0068480875
390, 0.0065471865
391, 0.0061451187
392, 0.014741013
393, 0.0148210935
394, 0.014851949
395, 0.01498935
396, 0.0151223885
397, 0.015264916
398, 0.03444005
399, 0.034477983
400, 0.034477327
401, 0.04274386
402, 0.05426972
403, 0.05431781
404, 0.054415166
405, 0.054524966
406, 0.054599166
407, 0.0547502
408, 0.05496096
409, 0.055171233
410, 0.05534623
411, 0.055528715
412, 0.05553989
413, 0.055580713
414, 0.0556975
415, 0.055770572
416, 0.05583511
417, 0.039092373
418, 0.039152805
419, 0.03924741
420, 0.039337646
421, 0.03935061
422, 0.0393999
423, 0.026018368
424, 0.026039131
425, 0.03857547
426, 0.028728485
427, 0.01631774
428, 0.016388875
429, 0.016451571
430, 0.016503666
431, 0.016579516
432, 0.01658645
433, 0.01655309
434, 0.016554218
435, 0.016559925
436, 0.016601894
437, 0.016602108
438, 0.016623821
439, 0.016590971
440, 0.016583616
441, 0.016530856
442, 0.016525853
443, 0.016516821
444, 0.019583793
445, 0.033942558
446, 0.033895865
447, 0.033798918
448, 0.033713333
449, 0.033689193
450, 0.026269468
451, 0.026265927
452, 0.027723512
453, 0.027490826
454, 0.02740975
455, 0.027376385
456, 0.02720462
457, 0.02710422
458, 0.026964204
459, 0.026845189
460, 0.02653752
461, 0.02614226
462, 0.025866661
463, 0.025631508
464, 0.025310537
465, 0.025018048
466, 0.02470139
467, 0.024539351
468, 0.024333283
469, 0.02021422
470, 0.005697693
471, 0.0056079547
472, 0.005503153
473, 0.0053775515
474, 0.005303999
475, 0.0025676803
476, 0.0030374106
477, 0.0047832243
478, 0.004978199
479, 0.0053142263
480, 0.005720205
481, 0.006030027
482, 0.0063029914
483, 0.0064362483
484, 0.00645162
485, 0.0065332665
486, 0.006341598
487, 0.0060346285
488, 0.006233051
489, 0.005797309
490, 0.0052973647
491, 0.004681235
492, 0.0046306853
493, 0.0048300195
494, 0.0050562564
495, 0.0054125707
496, 0.0068473695
497, 0.0066793286
498, 0.0070041027
499, 0.007720043
500, 0.007955962
501, 0.007914588
502, 0.008261284
503, 0.008207325
504, 0.008743745
505, 0.008419001
506, 0.008421259
507, 0.0080796
508, 0.0076492857
509, 0.007959521
510, 0.008534546
511, 0.009075208
512, 0.009613498
513, 0.010172295
514, 0.011172485
515, 0.011597529
516, 0.012089161
517, 0.0123326015
518, 0.011565688
519, 0.010578602
520, 0.011024685
521, 0.012326621
522, 0.010620604
523, 0.012791697
524, 0.015331035
525, 0.014928115
526, 0.011334839
527, 0.014071785
528, 0.01488017
529, 0.018421534
530, 0.02068961
531, 0.02248781
532, 0.025102042
533, 0.02671188
534, 0.03201759
535, 0.03799544
536, 0.044089526
537, 0.04892528
538, 0.054361112
539, 0.051301602
540, 0.05774193
541, 0.06256023
542, 0.067010865
543, 0.07177939
544, 0.07712545
545, 0.080354646
546, 0.08203299
547, 0.08837601
548, 0.090303294
549, 0.09291201
550, 0.099487856
551, 0.112389304
552, 0.11449123
553, 0.120559685
554, 0.125465
555, 0.12938823
556, 0.13406184
