timestamp, t_err_s
1, 0.030104617
2, 0.028856872
3, 0.031735826
4, 0.037678406
5, 0.03274644
6, 0.028301543
7, 0.030194063
8, 0.040601093
9, 0.041904364
10, 0.043152858
11, 0.048961915
12, 0.047185652
13, 0.043777052
14, 0.044404183
15, 0.048194118
16, 0.048377577
17, 0.05029661
18, 0.051706515
19, 0.05256879
20, 0.05230016
21, 0.0540505
22, 0.051385313
23, 0.051577706
24, 0.047629967
25, 0.048219927
26, 0.046766795
27, 0.047836646
28, 0.047195453
29, 0.04560031
30, 0.04210443
31, 0.041129407
32, 0.04210686
33, 0.03772388
34, 0.041137572
35, 0.0393907
36, 0.037636768
37, 0.043450836
38, 0.045734216
39, 0.0435372
40, 0.03725077
41, 0.037581164
42, 0.039943893
43, 0.040131323
44, 0.040482897
45, 0.042037357
46, 0.042844076
47, 0.04447861
48, 0.045306053
49, 0.053883
50, 0.05937706
51, 0.06147405
52, 0.06411046
53, 0.067602955
54, 0.071955666
55, 0.075922124
56, 0.07901903
57, 0.07900627
58, 0.08263146
59, 0.086783804
60, 0.08950231
61, 0.09133264
62, 0.09073064
63, 0.089977846
64, 0.092502914
65, 0.100523576
66, 0.10852727
67, 0.112527065
68, 0.11919151
69, 0.12289433
70, 0.12733908
71, 0.13405344
72, 0.13884468
73, 0.14446005
74, 0.14610152
75, 0.15098552
76, 0.15291435
77, 0.15711184
78, 0.16373903
79, 0.16598953
80, 0.1675318
81, 0.1710312
82, 0.1775869
83, 0.1880593
84, 0.1894542
85, 0.19615036
86, 0.19945152
87, 0.20277709
88, 0.2104659
89, 0.21731159
90, 0.21892707
91, 0.21727057
92, 0.21822707
93, 0.22312017
94, 0.22768076
95, 0.22865207
96, 0.22949731
97, 0.23194893
98, 0.22965758
99, 0.22545467
100, 0.2259743
101, 0.23129758
102, 0.23497097
103, 0.23564129
104, 0.23570064
105, 0.2354966
106, 0.23853949
107, 0.24082297
108, 0.23295124
109, 0.23110206
110, 0.23647873
111, 0.23721235
112, 0.23263954
113, 0.23194852
114, 0.2320984
115, 0.23485793
116, 0.2402871
117, 0.24203041
118, 0.23522922
119, 0.23337018
120, 0.23767143
121, 0.24103628
122, 0.23548904
123, 0.23521975
124, 0.24157712
125, 0.2418638
126, 0.24769083
127, 0.24509305
128, 0.24161257
129, 0.2403487
130, 0.2436225
131, 0.24138954
132, 0.23710883
133, 0.23867117
134, 0.24817324
135, 0.23973072
136, 0.24185516
137, 0.24755086
138, 0.24853192
139, 0.25125185
140, 0.2538494
141, 0.2511114
142, 0.25210708
143, 0.25900102
144, 0.25956893
145, 0.26233897
146, 0.2641608
147, 0.26572382
148, 0.27183315
149, 0.27635208
150, 0.27956736
151, 0.2733997
152, 0.27285546
153, 0.27606285
154, 0.2812973
155, 0.28068185
156, 0.28229934
157, 0.28575045
158, 0.28496763
159, 0.27207395
160, 0.2748336
161, 0.27419397
162, 0.27175024
163, 0.26774237
164, 0.26480857
165, 0.2614798
166, 0.26079923
167, 0.26532736
168, 0.2607749
169, 0.26909834
170, 0.26280758
171, 0.25991207
172, 0.26248562
173, 0.25874433
174, 0.25573328
175, 0.25515124
176, 0.25531754
177, 0.2563915
178, 0.25571582
179, 0.25662503
180, 0.25898388
181, 0.26168242
182, 0.2626119
183, 0.26543117
184, 0.27078027
185, 0.27278507
186, 0.2767951
187, 0.2808431
188, 0.2854474
189, 0.28920677
190, 0.2930081
191, 0.29508376
192, 0.28986582
193, 0.29096723
194, 0.28169718
195, 0.28546998
196, 0.286006
197, 0.28461546
198, 0.28521353
199, 0.2857703
200, 0.2964209
201, 0.2970458
202, 0.295731
203, 0.29622927
204, 0.29466987
205, 0.3010319
206, 0.30023682
207, 0.3004092
208, 0.29976326
209, 0.29849795
210, 0.2954202
211, 0.2941493
212, 0.29329887
213, 0.29265472
214, 0.28976026
215, 0.28718826
216, 0.28846595
217, 0.29143277
218, 0.29347238
219, 0.2935921
220, 0.2933003
221, 0.29456526
222, 0.29565248
223, 0.29616106
224, 0.2957451
225, 0.28288457
226, 0.28169948
227, 0.2822044
228, 0.28044885
229, 0.27943793
230, 0.26850447
231, 0.26520136
232, 0.26266322
233, 0.25969028
234, 0.25643054
235, 0.25666052
236, 0.25460893
237, 0.253421
238, 0.25029454
239, 0.24818361
240, 0.24700074
241, 0.24335428
242, 0.23914014
243, 0.23593739
244, 0.23577687
245, 0.23409402
246, 0.2317443
247, 0.23049667
248, 0.23062864
249, 0.2300179
250, 0.22886431
251, 0.23071933
252, 0.23091976
253, 0.23138392
254, 0.23341282
